Temperature (°C),Temperature (K),NP(LIQUID),NP(FCC_A1),"X(FCC_A1,AL)","X(FCC_A1,CR)","X(FCC_A1,NI)","X(LIQUID,AL)","X(LIQUID,CR)","X(LIQUID,NI)"
1800.0,2073.15,1.0,0.0,,,,0.09799999999342995,0.08300000000946633,0.8189999999971036
1790.0,2063.15,1.0,0.0,,,,0.09799999999336821,0.08300000000952376,0.818999999997108
1780.0,2053.15,1.0,0.0,,,,0.09799999999331371,0.0830000000095797,0.8189999999971067
1770.0,2043.15,1.0,0.0,,,,0.09799999999324818,0.08300000000964336,0.8189999999971086
1760.0,2033.15,1.0,0.0,,,,0.09799999999319035,0.08300000000970188,0.8189999999971077
1750.0,2023.15,1.0,0.0,,,,0.09799999999312835,0.08300000000976314,0.8189999999971086
1740.0,2013.15,1.0,0.0,,,,0.0979999999930659,0.08300000000982564,0.8189999999971086
1730.0,2003.15,1.0,0.0,,,,0.09799999999300373,0.08300000000988905,0.818999999997107
1720.0,1993.15,1.0,0.0,,,,0.09799999999294212,0.08300000000995128,0.8189999999971066
1710.0,1983.15,1.0,0.0,,,,0.09799999999287845,0.08300000001001738,0.8189999999971043
1700.0,1973.15,1.0,0.0,,,,0.09799999999280852,0.08300000001008326,0.8189999999971084
1690.0,1963.15,1.0,0.0,,,,0.09799999999273779,0.08300000001015419,0.8189999999971082
1680.0,1953.15,1.0,0.0,,,,0.09799999999266806,0.08300000001022517,0.8189999999971068
1670.0,1943.15,1.0,0.0,,,,0.09799999999259984,0.08300000001029237,0.8189999999971079
1660.0,1933.15,1.0,0.0,,,,0.09799999999253087,0.08300000001036408,0.818999999997105
1650.0,1923.15,1.0,0.0,,,,0.09799999999244938,0.08300000001044325,0.8189999999971075
1640.0,1913.15,1.0,0.0,,,,0.09799999999237867,0.08300000001051651,0.8189999999971048
1630.0,1903.15,1.0,0.0,,,,0.09799999999230616,0.08300000001059106,0.8189999999971027
1620.0,1893.15,1.0,0.0,,,,0.09799999999222751,0.08300000001066829,0.8189999999971042
1610.0,1883.15,1.0,0.0,,,,0.09799999999214885,0.08300000001074817,0.8189999999971032
1600.0,1873.15,1.0,0.0,,,,0.09799999999207022,0.08300000001082879,0.8189999999971012
1590.0,1863.15,1.0,0.0,,,,0.09799999999198514,0.08300000001091258,0.8189999999971022
1580.0,1853.15,1.0,0.0,,,,0.09799999999190613,0.08300000001099475,0.8189999999970992
1570.0,1843.15,1.0,0.0,,,,0.09799999999181742,0.08300000001108349,0.818999999997099
1560.0,1833.15,1.0,0.0,,,,0.09799999999173428,0.08300000001117011,0.8189999999970955
1550.0,1823.15,1.0,0.0,,,,0.09799999999164861,0.08300000001125785,0.8189999999970936
1540.0,1813.15,1.0,0.0,,,,0.09799999999155405,0.0830000000113499,0.818999999997096
1530.0,1803.15,1.0,0.0,,,,0.09799999999146776,0.08300000001144316,0.8189999999970892
1520.0,1793.15,1.0,0.0,,,,0.09799999999137665,0.08300000001153832,0.818999999997085
1510.0,1783.15,1.0,0.0,,,,0.09799999999127684,0.08300000001163498,0.8189999999970882
1500.0,1773.15,1.0,0.0,,,,0.09799999999117828,0.08300000001173606,0.8189999999970858
1490.0,1763.15,1.0,0.0,,,,0.09799999999107877,0.08300000001183576,0.8189999999970854
1480.0,1753.15,1.0,0.0,,,,0.09799999999098072,0.08300000001193764,0.8189999999970817
1470.0,1743.15,1.0,0.0,,,,0.09799999999087519,0.08300000001204327,0.8189999999970815
1460.0,1733.15,1.0,0.0,,,,0.09799999999076897,0.08300000001215414,0.8189999999970771
1450.0,1723.15,1.0,0.0,,,,0.09799999999066517,0.08300000001226332,0.8189999999970717
1440.0,1713.15,1.0,0.0,,,,0.09799999999055399,0.08300000001237523,0.8189999999970708
1430.0,1703.15,1.0,0.0,,,,0.09799999999044501,0.08300000001248971,0.8189999999970653
1420.0,1693.15,0.5248521177943055,0.47514788220569454,0.09257652219759252,0.0787052163145357,0.828718261487872,0.10290986680701564,0.08688806161449313,0.8102020715784913
1415.9375,1689.0875,0.0,1.0,0.09799999998972363,0.08300000001549215,0.8189999999947843,,,
