случай;ступень;T, °C;фаза;фаза постановки;мольная доля;мольная доля, %;видимая
контроль;контроль;700,0;FCC_A1;;0,7750216252218527;77,50216252218527;да
контроль;контроль;700,0;M23C6;;0,0011687480154170607;0,11687480154170607;да
контроль;контроль;700,0;MNS_Q;;0,0007434385197343389;0,07434385197343389;да
контроль;контроль;700,0;P_PHASE;P;0,2230661887710223;22,30661887710223;да
контроль;контроль;750,0;FCC_A1;;0,8071636788152864;80,71636788152864;да
контроль;контроль;750,0;M23C6;;0,0011367109947697746;0,11367109947697746;да
контроль;контроль;750,0;MNS_Q;;0,0007434385873950247;0,07434385873950247;да
контроль;контроль;750,0;P_PHASE;P;0,19095616936837215;19,095616936837214;да
CR нижний;А;700,0;FCC_A1;;0,7855729689127648;78,55729689127648;да
CR нижний;А;700,0;M23C6;;0,0011672156035780186;0,11672156035780186;да
CR нижний;А;700,0;MNS_Q;;0,0007439247405154389;0,0743924740515439;да
CR нижний;А;700,0;P_PHASE;P;0,21251589122543413;21,251589122543415;да
CR нижний;А;750,0;FCC_A1;;0,818782832285204;81,8782832285204;да
CR нижний;А;750,0;M23C6;;0,001132971959770301;0,1132971959770301;да
CR нижний;А;750,0;MNS_Q;;0,000743924853262885;0,0743924853262885;да
CR нижний;А;750,0;P_PHASE;P;0,1793402692261967;17,93402692261967;да
CR верхний;А;700,0;FCC_A1;;0,7652041370031202;76,52041370031202;да
CR верхний;А;700,0;M23C6;;0,0011700817225247478;0,11700817225247478;да
CR верхний;А;700,0;MNS_Q;;0,0007429529408204468;0,07429529408204467;да
CR верхний;А;700,0;P_PHASE;P;0,2328828288759427;23,28828288759427;да
CR верхний;А;750,0;FCC_A1;;0,7962651846389688;79,62651846389687;да
CR верхний;А;750,0;M23C6;;0,0011400929022976714;0,11400929022976714;да
CR верхний;А;750,0;MNS_Q;;0,0007429529101152428;0,07429529101152428;да
CR верхний;А;750,0;P_PHASE;P;0,20185177152762507;20,185177152762506;да
MO нижний;А;700,0;FCC_A1;;0,8081178571775504;80,81178571775503;да
MO нижний;А;700,0;M23C6;;0,0011631418239268162;0,11631418239268163;да
MO нижний;А;700,0;MNS_Q;;0,0007405189385842852;0,07405189385842852;да
MO нижний;А;700,0;P_PHASE;P;0,18997848182663152;18,99784818266315;да
